stim_id,degree,context_sentence,superordinate,np,np_expectations,adj,adj_polarity,np_match,originalResponse,cat_cleaned,specific,matchingSuper,mode_np
55,size,Kim is at an aquarium and sees a herring.,fish,herring,low,small,negative,herring,birds,birds,0,0,fish
40,loudness,Charles wants to play music and tries out an ukelele.,guitars,ukelele,low,loud,positive,ukelele,instruments,instruments,0,0,guitars
75,temperature_h,Greg is in his kitchen and puts his hand in the oven.,locations,oven,high,warm,positive,oven,appliances,appliances,0,0,locations
64,speed,Alicia is at a friend's house and sees their pet turtle come towards them.,pets,turtle,low,slow,negative,turtle,animals,animals,0,0,pets
67,strength,Claire watches a child lift up a box.,people,child,low,strong,positive,child,boxes,box,0,0,people
7,darkness,Melinda takes a walk and notices the coat of a spaniel.,dogs,spaniel,medium,light,positive,spaniel,coats,coat,0,0,dogs
47,price,Kim is shopping for berries and looks at the price of raspberries.,berries,raspberries,medium,expensive,positive,raspberries,fruit,fruit,0,0,berries
40,loudness,Julia wants to play music and tries out an acoustic guitar.,guitars,acoustic guitar,medium,loud,positive,acoustic guitar,instruments,instruments,0,0,guitars
41,price,Josh is at a decoration shop and looks at a statue made of platinum.,statues,platinum,high,expensive,positive,platinum,metals,statue,0,1,statues
76,temperature_h,William is spending his Saturday at a sauna.,places,sauna,high,hot,positive,sauna,rooms,rooms,0,0,places
75,temperature_h,Stephanie is in her kitchen and puts her hand in the freezer.,locations,freezer,low,cold,negative,freezer,places in the kitchen,locations,0,1,locations
7,darkness,Sophie takes a walk and notices the coat of a spaniel.,dogs,spaniel,medium,dark,negative,spaniel,coats,coat,0,0,dogs
1,darkness,Lee is going for a walk and notices the color of a crow.,birds,crow,low,dark,negative,crow,times of day,times of day of day of day,0,0,birds
70,strength,Maya is painting and tries a new wall paint.,paints,wall paint,medium,strong,positive,wall,paint smells,paint smells,0,0,paints
62,speed_f,Michael sees a car on the highway.,vehicles,car,medium,fast,positive,car,highways,highway,0,0,vehicles
87,width,Jasmine is driving on a downtown street.,roads,downtown street,medium,wide,positive,downtown,streets,streets,0,0,roads
83,weight,Simon is at a craft shop and picks up a piece of silk.,materials,silk,low,heavy,positive,silk,fabrics,fabric,0,0,materials
90,width,Tanya is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,narrow,negative,patio,doors,doors,0,0,doorways
40,loudness,Greg wants to play music and tries out a bass guitar.,guitars,bass guitar,high,loud,positive,bass,instruments,instruments,0,0,guitars
4,darkness,Kathleen steps outside during the dusk.,times of day,dusk,medium,dark,negative,dusk,nights,nights,0,0,times of day
41,price,Daniel is at a decoration shop and looks at a statue made of platinum.,statues,platinum,high,cheap,negative,platinum,metals,statue,0,1,statues
7,darkness,Anthony takes a walk and notices the coat of a poodle.,dogs,poodle,high,light,positive,poodle,coats,coat,0,0,dogs
38,loudness,Michael is in a forest and hears a mockingbird .,birds,mockingbird,high,quiet,negative,mockingbird,places,places,0,0,birds
18,height,David is looking at a tulip.,flowers,tulip,medium,short,negative,tulip,plants,plants,0,0,flowers
88,width,Daniel is standing at the bank of a stream.,waterways,stream,medium,narrow,negative,stream,bodys of water,waterways,0,1,waterways
64,speed,Greg is at a friend's house and sees their pet rabbit come towards them.,pets,rabbit,high,slow,negative,rabbit,things,things,0,0,pets
45,price,Kim wants to buy a bracelet and looks at one made of metal.,bracelets,metal,medium,expensive,positive,metal,pieces of jewelry, jewelry,0,0,bracelets
77,temperature_h,Kathleen is at a restaurant and takes a taste of a smoothie.,food,smoothie,low,hot,positive,smoothie,foods,food,0,0,food
41,price,Angela is at a decoration shop and looks at a statue made of plastic.,statues,plastic,low,expensive,positive,plastic,items that can be bought,items,0,0,statues
47,price,Monica is shopping for berries and looks at the price of boysenberries.,berries,boysenberries,high,expensive,positive,boysenberries,fruits,fruit,0,0,berries
24,length_duration,Claire sees a friend driving a limousine.,vehicles,limousine,high,long,positive,limo,cars,cars,0,0,vehicles
56,size,Lee sees his friend's new smartcar.,vehicles,smartcar,low,big,positive,smart,cars,cars,0,0,vehicles
13,hardness,Robert is at a hardware store and picks up a piece of plastic.,materials,plastic,medium,soft,negative,plastic,hardware,materials,0,1,materials
24,length_duration,Mika sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,long,positive,pick-up,trucks,truck,0,0,vehicles
45,price,William wants to buy a bracelet and looks at one made of gold.,bracelets,gold,high,cheap,negative,gold,jewelry,jewelry,0,0,bracelets
14,hardness,Tom is in his bedroom and sits on a bedboard.,furniture,bedboard,high,hard,positive,bedboard,beds,beds,0,0,furniture
69,strength,Eric is watching a golfer lift weights.,athletes,golfer,low,strong,positive,golfer,people,people,0,0,athletes
70,strength,William is painting and tries a new wall paint.,paints,wall paint,medium,weak,negative,wall,shades that give a stronger characteristic,paints,0,1,paints
83,weight,Robert is at a craft shop and picks up a piece of silk.,materials,silk,low,light,negative,silk,fabric,fabric,0,0,materials
71,strength,Gabriel is examining the walls of a friend's new condo.,walls,condo,medium,weak,negative,condo,Wall strength,wall strength,0,0,walls
45,price,Lee wants to buy a bracelet and looks at one made of metal.,bracelets,metal,medium,expensive,positive,metal,jewelry,jewelry,0,0,bracelets
75,temperature_h,Angela is in her kitchen and puts her hand in the pantry.,locations,pantry,medium,warm,positive,pantry,kitchens,kitchen,0,0,locations
90,width,Julia is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0,doorways
39,loudness_n,Charles is at a lake and hears the sound of a rowboat.,boats,rowboat,low,loud,positive,rowboat,lakes,lake,0,0,boats
83,weight,Kim is at a craft shop and picks up a piece of silk.,materials,silk,low,heavy,positive,silk,clothes,fabric,0,0,materials
56,size,Stephen sees his friend's new sedan.,vehicles,sedan,medium,big,positive,sedan,cars,cars,0,0,vehicles
55,size,Monica is at an aquarium and sees a herring.,fish,herring,low,small,negative,herring,animals,animals,0,0,fish
6,darkness,Stephen is creating a flower bouquet and picks out a dahlia.,flowers,dahlia,low,light,positive,dahlia,bouquets,bouquet,0,0,flowers
56,size,Alexander sees his friend's new sedan.,vehicles,sedan,medium,big,positive,sedan,cars,cars,0,0,vehicles
90,width,Natalia is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front gate,furnitures,furniture,0,0,doorways
37,loudness_n,Melinda is on the sidewalk and hears an electric car drive by.,vehicles,electric car,low,loud,positive,electric,cars,cars,0,0,vehicles
11,hardness,Daniel steps onto the tile floor of a room.,floors,tile,high,hard,positive,tile,floor styles,floors,0,1,floors
64,speed,Michael is at a friend's house and sees their pet turtle come towards them.,pets,turtle,low,slow,negative,turtle,animals,animals,0,0,pets
30,loudness_n,Gabriel meets a friend at a church.,venue,church,low,quiet,negative,church,indoor spaces,venue,0,1,venue
12,hardness,Laura picks up a mango.,fruit,mango,medium,hard,positive,mango,story,story,0,0,fruit
48,price,David is at the butchershop and looks at a piece of chicken.,meat,chicken,medium,expensive,positive,chicken,high price,chicken,1,0,chicken
27,length_duration,Michael looks up information about an upcoming sprinting race.,races,sprinting race,low,long,positive,sprint,lenghty,lenghty,0,0,races
43,price,Mika is shopping for shoes and looks at a pair of boots.,shoes,boots,high,cheap,negative,boots,silver,silver,0,0,shoes
41,price,Stephanie is at a decoration shop and looks at a statue made of plastic.,statues,plastic,low,expensive,positive,plastic,gold,gold,0,0,statues
44,price,Veronica is shopping for spices and looks at garlic.,spices,garlic,medium,cheap,negative,garlic,silver,silver,0,0,spices
60,speed,Gary is at the zoo and watches a cheetah move.,animals,cheetah,high,slow,negative,cheetah,waste,waste,0,0,animals
7,darkness,Natalia takes a walk and notices the coat of a poodle.,dogs,poodle,high,light,positive,poodle,coats,coat,0,0,dogs
87,width,Anthony is driving on a downtown street.,roads,downtown street,medium,wide,positive,downtown,streets,streets,0,0,roads
7,darkness,Jasmine takes a walk and notices the coat of a spaniel.,dogs,spaniel,medium,dark,negative,spaniel,coats,coat,0,0,dogs
83,weight,Alexander is at a craft shop and picks up a piece of cotton.,materials,cotton,medium,heavy,positive,cotton,crafts,materials,0,1,materials
7,darkness,Laura takes a walk and notices the coat of a pitbull.,dogs,pitbull,low,dark,negative,pitbull,coats,coat,0,0,dogs
86,width,Tanya is in a forest and sees a bear den.,dens,bear den,high,narrow,negative,bear,forest,forest,0,0,dens
53,size,Mika is looking in an insect terrarium and sees a spider.,insects,spider,high,big,positive,spider,mall,mall,0,0,insects
87,width,Anthony is driving on a downtown street.,roads,downtown street,medium,wide,positive,downtown,street,street,0,0,roads
88,width,Monica is standing at the bank of a stream.,waterways,stream,medium,narrow,negative,stream,jockey,jockey,0,0,waterways
38,loudness,Josh is in a forest and hears a woodpecker.,birds,woodpecker,medium,loud,positive,woodpecker,forest,forest,0,0,birds
33,loudness_n,Jennifer is taking a walk in a park and hears the cry of a rooster.,birds,rooster,high,quiet,negative,rooster,park,park,0,0,birds
7,darkness,Julia takes a walk and notices the coat of a poodle.,dogs,poodle,high,dark,negative,poodle,coat,coat,0,0,dogs
7,darkness,David takes a walk and notices the coat of a poodle.,dogs,poodle,high,light,positive,poodle,coat,coat,0,0,dogs
53,size,Gabriel is looking in an insect terrarium and sees an ant.,insects,ant,low,small,negative,ant,insect terrariums,insectss,0,1,insects
15,height,Claire is at a zoo and looks at a penguin.,animals,penguin,low,tall,positive,penguin,birds,birds,0,0,animals
24,length_duration,Kim sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,short,negative,pick-up,trucks,truck,0,0,vehicles
75,temperature_h,David is in his kitchen and puts his hand in the pantry.,locations,pantry,medium,cold,negative,pantry,rooms,rooms,0,0,locations
30,loudness_n,Michael meets a friend at a conference center.,venue,conference center,medium,quiet,negative,conference center,rooms,rooms,0,0,venue
77,temperature_h,Gary is at a restaurant and takes a taste of a smoothie.,food,smoothie,low,cold,negative,smoothie,food,food,0,0,food
38,loudness,Kathleen is in a forest and hears a mockingbird .,birds,mockingbird,high,quiet,negative,mockingbird,forests,forest,0,0,birds
69,strength,Angela is watching a wrestler lift weights.,athletes,wrestler,high,strong,positive,wrestler,weight lifters,weightlifters,0,0,athletes
76,temperature_h,Gary is spending his Saturday at an ice rink.,places,ice rink,low,cold,negative,ice rink,settings,places,0,1,places
33,loudness_n,Julia is taking a walk in a park and hears the cry of a crow.,birds,crow,medium,quiet,negative,crow,settings,birds,0,1,birds
76,temperature_h,William is spending his Saturday at a shopping mall.,places,shopping mall,medium,cold,negative,mall,settings,places,0,1,places
25,length_duration,Charles thinks about watching his favorite sitcom.,entertainment,sitcom,low,long,positive,sitcom,programs,entertainment,0,1,entertainment
82,weight,Mika is walking outside and picks up a feather.,objects,feather,low,light,negative,feather,things you might pick up,things pick-up,0,0,objects
69,strength,Michael is watching a wrestler lift weights.,athletes,wrestler,high,weak,negative,wrestler,weight lifters,weightlifters,0,0,athletes
4,darkness,Greg steps outside during the dusk.,times of day,dusk,medium,dark,negative,dusk,settings,times of day,0,1,times of day
71,strength,Robert is examining the walls of a friend's new condo.,walls,condo,medium,strong,positive,condo,structures,structures,0,0,walls
75,temperature_h,Tom is in his kitchen and puts his hand in the pantry.,locations,pantry,medium,warm,positive,pantry,rooms,rooms,0,0,locations
28,length_duration,Josh is considering listening to his favorite opera.,audios,opera,high,long,positive,opera,performances,audios,0,1,audios
32,loudness_n,Stephen is spending his Saturday night at a concert.,venues,concert,high,quiet,negative,concert,settings,venue,0,1,venues
31,loudness_n,Simon is at a friend's place and hears his pet parrot.,pets,parrot,high,loud,positive,parrot,animals,animals,0,0,pets
40,loudness,John wants to play music and tries out a bass guitar.,guitars,bass guitar,high,loud,positive,bass,music sounds,music,0,0,guitars
76,temperature_h,Charles is spending his Saturday at a sauna.,places,sauna,high,hot,positive,sauna,water temperatures,water temperature,0,0,places
5,darkness,Cameron is writing with a piece of chalk and notices the color of the script.,scripts,piece of chalk,high,dark,negative,chalk,scripts,script,0,0,scripts
4,darkness,Simon steps outside during the night.,times of day,night,low,dark,negative,night,areas,nights,1,0,night
69,strength,Michael is watching a golfer lift weights.,athletes,golfer,low,weak,negative,golfer,weight lifters,weightlifters,0,0,athletes
40,loudness,Michelle wants to play music and tries out an ukelele.,guitars,ukelele,low,quiet,negative,ukelele,instruments,instruments,0,0,guitars
65,speed,Eric is taking a walk with a child.,people,child,medium,slow,negative,child,walkers,walkers,0,0,people
64,speed,William is at a friend's house and sees their pet rabbit come towards them.,pets,rabbit,high,quick,positive,rabbit,animals,animals,0,0,pets
52,size,Anthony is at the zoo and sees a mouse.,animals,mouse,low,small,negative,mouse,rodents,rodents,0,0,animals
47,price,Michelle is shopping for berries and looks at the price of raspberries.,berries,raspberries,medium,cheap,negative,raspberries,fruits,fruit,0,0,berries
33,loudness_n,Charles is taking a walk in a park and hears the cry of a finch.,birds,finch,low,quiet,negative,finch,cries,finch,1,0,finch
18,height,Sophie is looking at a pansy.,flowers,pansy,low,short,negative,pansy,animals,animals,0,0,flowers
30,loudness_n,Robert meets a friend at a church.,venue,church,low,quiet,negative,church,buildings,building,0,0,venue
14,hardness,Kim is in her bedroom and sits on a bedboard.,furniture,bedboard,high,hard,positive,bedboard,beds,beds,0,0,furniture
48,price,Alexander is at the butchershop and looks at a piece of chicken.,meat,chicken,medium,expensive,positive,chicken,meals,meals,0,0,meat
31,loudness_n,William is at a friend's place and hears his pet cat.,pets,cat,medium,loud,positive,cat,animals,animals,0,0,pets
55,size,Simon is at an aquarium and sees a tuna.,fish,tuna,medium,big,positive,tuna,animals in the aquarium,animals aquarium,0,0,fish
37,loudness_n,Natalia is on the sidewalk and hears an electric car drive by.,vehicles,electric car,low,quiet,negative,electric,cars,cars,0,0,vehicles
32,loudness_n,Stephanie is spending her Saturday night at a concert.,venues,concert,high,noisy,positive,concert,rooms in the building / venue,venue,0,1,venues
40,loudness,Sophie wants to play music and tries out an ukelele.,guitars,ukelele,low,quiet,negative,ukelele,instruments,instruments,0,0,guitars
28,length_duration,Claire is considering listening to her favorite podcast episode.,audios,podcast episode,medium,short,negative,podcast episode,episodes,podcast episode,1,0,podcast episode
24,length_duration,Alicia sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,long,positive,pick-up,trucks,truck,0,0,vehicles
75,temperature_h,Anthony is in his kitchen and puts his hand in the pantry.,locations,pantry,medium,warm,positive,pantry,rooms,rooms,0,0,locations
30,loudness_n,Gary meets a friend at a conference center.,venue,conference center,medium,quiet,negative,conference center,buildings,building,0,0,venue
69,strength,Jennifer is watching a wrestler lift weights.,athletes,wrestler,high,strong,positive,wrestler,humans,people,0,0,athletes
5,darkness,Cameron is writing with a pencil and notices the color of the script.,scripts,pencil,low,light,positive,pencil,script,script,0,0,scripts
24,length_duration,Greg sees a friend driving a limousine.,vehicles,limousine,high,long,positive,limo,cars,cars,0,0,vehicles
83,weight,Greg is at a craft shop and picks up a piece of silk.,materials,silk,low,light,negative,silk,fabric,fabric,0,0,materials
64,speed,Maya is at a friend's house and sees their pet turtle come towards them.,pets,turtle,low,slow,negative,turtle,animals,animals,0,0,pets
15,height,Mika is at a zoo and looks at a penguin.,animals,penguin,low,short,negative,penguin,people,people,0,0,animals
32,loudness_n,Monica is spending her Saturday night at a library.,venues,library,low,noisy,positive,library,rooms,rooms,0,0,venues
2,darkness,Kim bought a can of black paint and is testing it for the first time.,paint,black paint,low,light,positive,black,shades,shades,0,0,paint
16,height,Laura is looking at an apartment building.,buildings,apartment building,medium,short,negative,apartment building,roofs,roofs,0,0,buildings
22,length_duration,Michael is at a friend's house and notices the size of his pet hamster.,pets,hamster,medium,short,negative,hamster,rodents,rodents,0,0,pets
36,loudness_n,Anthony is planning to move and reads about a nearby town.,places,town,medium,quiet,negative,town,cities,city,0,0,places
10,hardness,Michelle is eating a piece of chocolate.,candies,piece of chocolate,medium,soft,negative,chocolate,textures,scriptures,0,0,candies
69,strength,Jennifer is watching a cyclist lift weights.,athletes,cyclist,medium,strong,positive,cyclist,people,people,0,0,athletes
90,width,Cameron is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,doors,doors,0,0,doorways
61,speed,Claire wants to cook dinner and considers using an instant pot.,cookware,instant pot,high,slow,negative,instant pot,methods,cookwares,0,1,cookware
41,price,Tanya is at a decoration shop and looks at a statue made of bronze.,statues,bronze,medium,expensive,positive,bronze,decorations,decor,0,0,statues
87,width,Angela is driving on a downtown street.,roads,downtown street,medium,narrow,negative,downtown,streets,streets,0,0,roads
6,darkness,Julia is creating a flower bouquet and picks out a dahlia.,flowers,dahlia,low,light,positive,dahlia,fowers,flowers,0,1,flowers
75,temperature_h,Gabriel is in his kitchen and puts his hand in the pantry.,locations,pantry,medium,warm,positive,pantry,places,places,0,0,locations
61,speed,Mika wants to cook dinner and considers using an instant pot.,cookware,instant pot,high,slow,negative,instant pot,pots,cookware,0,1,cookware
40,loudness,Stephen wants to play music and tries out an ukelele.,guitars,ukelele,low,quiet,negative,ukelele,instruments,instruments,0,0,guitars
60,speed,Mika is at the zoo and watches a cheetah move.,animals,cheetah,high,fast,positive,cheetah,large cats,cats,0,0,animals
89,width,Kim is walking on a boulevard.,roads,boulevard,high,narrow,negative,boulevard,walkways,walkways,0,0,roads
47,price,Eric is shopping for berries and looks at the price of strawberries.,berries,strawberries,low,expensive,positive,strawberries,fruit,fruit,0,0,berries
28,length_duration,Kim is considering listening to her favorite opera.,audios,opera,high,short,negative,opera,songs,songs,0,0,audios
84,weight,Michelle learns about the weight of a friend's new motorcycle.,vehicles,motorcycle,medium,heavy,positive,motorcycle,bikes,bikes,0,0,vehicles
13,hardness,Jasmine is at a hardware store and picks up a piece of wood.,materials,wood,high,hard,positive,wood,substances,materials,0,1,materials
90,width,Stephanie is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,furniture of the same type,furniture,0,0,doorways
72,temperature,Stephen takes the first bite of his ice cream.,food,ice cream,low,cold,negative,ice cream,desserts,desserts,0,0,food
16,height,Eric is looking at an apartment building.,buildings,apartment building,medium,short,negative,apartment building,items,items,0,0,buildings
76,temperature_h,Veronica is spending her Saturday at a sauna.,places,sauna,high,hot,positive,sauna,rooms,rooms,0,0,places
30,loudness_n,Maya meets a friend at a party.,venue,party,high,noisy,positive,party,rooms,rooms,0,0,venue
37,loudness_n,Tanya is on the sidewalk and hears an electric car drive by.,vehicles,electric car,low,loud,positive,electric,cars,cars,0,0,vehicles
24,length_duration,Michelle sees a friend driving a smartcar.,vehicles,smartcar,low,long,positive,smart,cars,cars,0,0,vehicles
31,loudness_n,Josh is at a friend's place and hears his pet parrot.,pets,parrot,high,quiet,negative,parrot,birds,birds,0,0,pets
32,loudness_n,Tanya is spending her Saturday night at a library.,venues,library,low,quiet,negative,library,buildings,building,0,0,venues
10,hardness,Josh is eating a marshmallow.,candies,marshmallow,low,soft,negative,marshmallow,foods,food,0,0,candies
24,length_duration,Robert sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,short,negative,pick-up,trucks,truck,0,0,vehicles
69,strength,Gabriel is watching a cyclist lift weights.,athletes,cyclist,medium,weak,negative,cyclist,people,people,0,0,athletes
69,strength,Simon is watching a cyclist lift weights.,athletes,cyclist,medium,strong,positive,cyclist,people,people,0,0,athletes
87,width,Mika is driving on a downtown street.,roads,downtown street,medium,wide,positive,downtown,streets,streets,0,0,roads
77,temperature_h,Cameron is at a restaurant and takes a taste of a chocolate fondue.,food,chocolate fondue,high,hot,positive,fondue,foods,food,0,0,food
37,loudness_n,Michael is on the sidewalk and hears an electric car drive by.,vehicles,electric car,low,quiet,negative,electric,cars,cars,0,0,vehicles
24,length_duration,Angela sees a friend driving a smartcar.,vehicles,smartcar,low,short,negative,smart,cars,cars,0,0,vehicles
29,loudness,Michelle is listening to a choral concert.,concerts,choral concert,low,loud,positive,choral,singing,concerts,0,1,concerts
31,loudness_n,Alicia is at a friend's place and hears her pet fish.,pets,fish,low,quiet,negative,fish,animals,animals,0,0,pets
55,size,Jennifer is at an aquarium and sees a shark.,fish,shark,high,big,positive,shark,marine life,sealife,0,0,fish
44,price,William is shopping for spices and looks at saffron.,spices,saffron,high,cheap,negative,saffron,prices,saffron,1,0,saffron
24,length_duration,Mika sees a friend driving a smartcar.,vehicles,smartcar,low,short,negative,smart,cars,cars,0,0,vehicles
60,speed,Kim is at the zoo and watches an elephant move.,animals,elephant,medium,fast,positive,elephant,movies,movie,0,0,animals
4,darkness,Julia steps outside during the dusk.,times of day,dusk,medium,dark,negative,dusk,places,dusk,1,0,dusk
28,length_duration,Maya is considering listening to her favorite podcast episode.,audios,podcast episode,medium,long,positive,podcast episode,episodes,podcast episode,1,0,podcast episode
77,temperature_h,Stephanie is at a restaurant and takes a taste of a chocolate fondue.,food,chocolate fondue,high,hot,positive,fondue,foods,food,0,0,food
32,loudness_n,Maya is spending her Saturday night at a library.,venues,library,low,quiet,negative,library,places,places,0,0,venues
4,darkness,Angela steps outside during the night.,times of day,night,low,light,positive,night,places,night,1,0,night
8,darkness,Daniel is at a zoo and notices the fur color of a panther.,animals,panther,low,light,positive,panther,dogs,dogs,0,0,animals
70,strength,Michelle is painting and tries a new watercolor.,paints,watercolor,low,weak,negative,watercolor,paintings,paintings,0,0,paints
33,loudness_n,Tanya is taking a walk in a park and hears the cry of a crow.,birds,crow,medium,quiet,negative,crow,parks,park,0,0,birds
90,width,Simon is attempting to move furniture through the front gate of his house.,doorways,front gate,high,wide,positive,front gate,furniture,furniture,0,0,doorways
37,loudness_n,Sophie is on the sidewalk and hears a tractor drive by.,vehicles,tractor,high,quiet,negative,tractor,sidewalks,sidewalks,0,0,vehicles
7,darkness,Anthony takes a walk and notices the coat of a spaniel.,dogs,spaniel,medium,dark,negative,spaniel,coat,coat,0,0,dogs
40,loudness,Mika wants to play music and tries out a bass guitar.,guitars,bass guitar,high,loud,positive,bass,instruments,instruments,0,0,guitars
45,price,Michael wants to buy a bracelet and looks at one made of gold.,bracelets,gold,high,expensive,positive,gold,jewelry,jewelry,0,0,bracelets
37,loudness_n,Lee is on the sidewalk and hears an electric car drive by.,vehicles,electric car,low,quiet,negative,electric,cars,cars,0,0,vehicles
7,darkness,Monica takes a walk and notices the coat of a poodle.,dogs,poodle,high,light,positive,poodle,coats,coat,0,0,dogs
32,loudness_n,Tom is spending his Saturday night at a restaurant.,venues,restaurant,medium,noisy,positive,restaurant,places,places,0,0,venues
40,loudness,Alexander wants to play music and tries out an ukelele.,guitars,ukelele,low,loud,positive,ukelele,instruments,instruments,0,0,guitars
89,width,Michael is walking on a boulevard.,roads,boulevard,high,wide,positive,boulevard,streets,streets,0,0,roads
61,speed,Jennifer wants to cook dinner and considers using a crockpot.,cookware,crockpot,low,quick,positive,crockpot,making other diners by other methods,diners cookwares,0,1,cookware
38,loudness,Greg is in a forest and hears a owl.,birds,owl,low,loud,positive,owl,animals,animals,0,0,birds
37,loudness_n,Veronica is on the sidewalk and hears an electric car drive by.,vehicles,electric car,low,quiet,negative,electric,cars,cars,0,0,vehicles
40,loudness,Julia wants to play music and tries out an ukelele.,guitars,ukelele,low,loud,positive,ukelele,instruents,instruments,0,0,guitars
77,temperature_h,Gabriel is at a restaurant and takes a taste of a chocolate fondue.,food,chocolate fondue,high,cold,negative,fondue,hot food,food,0,0,food
45,price,Gary wants to buy a bracelet and looks at one made of metal.,bracelets,metal,medium,cheap,negative,metal,gold bracelet,gold bracelets,0,1,bracelets
89,width,Stephen is walking on a boulevard.,roads,boulevard,high,wide,positive,boulevard,streets,streets,0,0,roads
26,length_duration,Sophie is looking at a street on Google Maps.,roads,street,medium,short,negative,street,routes,routes,0,0,roads
59,speed,Kathleen is in the park and sees a jogger.,people,jogger,medium,slow,negative,jogger,runners,runners,0,0,people
77,temperature_h,Claire is at a restaurant and takes a taste of a muffin.,food,muffin,medium,hot,positive,muffin,pastries,desserts,0,1,food
71,strength,Charles is examining the walls of a friend's new tent.,walls,tent,low,strong,positive,tent,temporary shelters,tents,1,0,tent
64,speed,Stephanie is at a friend's house and sees their pet rabbit come towards them.,pets,rabbit,high,quick,positive,rabbit,pet in the house,pets,0,1,pets
15,height,Jasmine is at a zoo and looks at a penguin.,animals,penguin,low,tall,positive,penguin,birds at the zoo,birds,0,0,animals
85,weight,Anthony is at a grocery store and picks up a orange.,fruit,orange,medium,light,negative,orange,snacks,snacks,0,0,fruit
40,loudness,Sophie wants to play music and tries out a bass guitar.,guitars,bass guitar,high,loud,positive,bass,instruments,instruments,0,0,guitars
5,darkness,Lee is writing with a pencil and notices the color of the script.,scripts,pencil,low,light,positive,pencil,scipts,scipts,0,0,scripts
41,price,Claire is at a decoration shop and looks at a statue made of plastic.,statues,plastic,low,expensive,positive,plastic,decorations,decor,0,0,statues
90,width,Gabriel is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,narrow,negative,patio,doors,doors,0,0,doorways
71,strength,Sophie is examining the walls of a friend's new mansion.,walls,mansion,high,weak,negative,mansion,houses,house,0,0,walls
24,length_duration,Gary sees a friend driving a smartcar.,vehicles,smartcar,low,short,negative,smart,cars,cars,0,0,vehicles
5,darkness,Tom is writing with a piece of chalk and notices the color of the script.,scripts,piece of chalk,high,dark,negative,chalk,scripts,script,0,0,scripts
64,speed,Josh is at a friend's house and sees their pet cat come towards them.,pets,cat,medium,quick,positive,cat,animals,animals,0,0,pets
56,size,John sees his friend's new sedan.,vehicles,sedan,medium,big,positive,sedan,cars,cars,0,0,vehicles
76,temperature_h,Charles is spending his Saturday at a sauna.,places,sauna,high,hot,positive,sauna,rooms,rooms,0,0,places
64,speed,Monica is at a friend's house and sees their pet rabbit come towards them.,pets,rabbit,high,slow,negative,rabbit,animals,animals,0,0,pets
40,loudness,Robert wants to play music and tries out an ukelele.,guitars,ukelele,low,quiet,negative,ukelele,instruments,instruments,0,0,guitars
89,width,Kim is walking on a boulevard.,roads,boulevard,high,narrow,negative,boulevard,sidewalks,sidewalks,0,0,roads
24,length_duration,Michelle sees a friend driving a smartcar.,vehicles,smartcar,low,short,negative,smart,cars,cars,0,0,vehicles
69,strength,Maya is watching a cyclist lift weights.,athletes,cyclist,medium,weak,negative,cyclist,weightlifters,weightlifters,0,0,athletes
64,speed,Veronica is at a friend's house and sees their pet turtle come towards them.,pets,turtle,low,slow,negative,turtle,animals,animals,0,0,pets
47,price,Stephanie is shopping for berries and looks at the price of strawberries.,berries,strawberries,low,cheap,negative,strawberries,fruits,fruit,0,0,berries
75,temperature_h,Claire is in her kitchen and puts her hand in the pantry.,locations,pantry,medium,warm,positive,pantry,places in the house,locations,0,1,locations
41,price,Lucas is at a decoration shop and looks at a statue made of platinum.,statues,platinum,high,expensive,positive,platinum,artwork,artwork,0,0,statues
37,loudness_n,William is on the sidewalk and hears a tractor drive by.,vehicles,tractor,high,loud,positive,tractor,machinery,machines,0,0,vehicles
8,darkness,Maya is at a zoo and notices the fur color of a jaguar.,animals,jaguar,high,light,positive,jaguar,big cats,cats,0,0,animals
19,height,Tom sees a jockey.,people,jockey,low,short,negative,jockey,similar things,similar things,0,0,people
76,temperature_h,Michelle is spending her Saturday at an ice rink.,places,ice rink,low,cold,negative,ice rink,locations,locations,0,0,places
33,loudness_n,Robert is taking a walk in a park and hears the cry of a rooster.,birds,rooster,high,quiet,negative,rooster,parks,park,0,0,birds
40,loudness,Gary wants to play music and tries out an ukelele.,guitars,ukelele,low,loud,positive,ukelele,instruments,instruments,0,0,guitars
47,price,Charles is shopping for berries and looks at the price of strawberries.,berries,strawberries,low,expensive,positive,strawberries,fruit,fruit,0,0,berries
87,width,Angela is driving on a downtown street.,roads,downtown street,medium,wide,positive,downtown,streets,streets,0,0,roads
26,length_duration,Laura is looking at an alley on Google Maps.,roads,alley,low,long,positive,alley,maps,maps,0,0,roads
89,width,Gabriel is walking on a boulevard.,roads,boulevard,high,wide,positive,boulevard,streets,streets,0,0,roads
