"workerid","strength","trial_num","target","degree","gender","contextWithSuper","adjective","super_category","form","names","context","contextWithSuperPronoun","response","condition","sub_category"
10,1,5,"cheap","price","female"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Sophie"," finds a bottle opener and looks at the price.","","bottle openers","context","bottle opener"
10,2,6,"short","time","male"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","Anthony"," finds a music video to watch online with their friend.","","music videos","context","music video"
10,2,7," short","height","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Cameron"," sees a professional soccer player.","","professional soccer players","context","soccer player"
10,3,8,"cheap","price","male"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Gabriel"," finds a dishwasher and looks at the price.","","dishwashers","context","dishwasher"
10,1,9,"short","time","male"," is searching for things to watch online with their friend and finds a video of a cute animal.","short","things you watch online","negative","Michael"," finds a video of a cute animal to watch online with their friend.","","videos","context","video of the cute animal"
10,1,10,"light","weight","male"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Lee"," picks up a grape.","","fruits","context","grape"
10,2,11,"warm","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Kathleen"," lives in Maryland and steps outside in Fall.","","areas","context","day in Fall"
10,2,12,"light","weight","female"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Alicia"," picks up an apple.","","apples","context","apple"
10,1,13,"cold","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Natalia"," lives in Maryland and steps outside in Winter.","","areas","context","day in Winter"
10,3,14," short","height","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Claire"," sees a professional basketball player.","","professional basketball players","context","basketball player"
10,3,15,"heavy","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Kim"," picks up a watermelon.","","watermelons","context","watermelon"
11,2,1,"cold","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Daniel"," lives in Maryland and steps outside in Fall.","He","settings","contextWithSuper","day in Fall"
11,2,2,"expensive","price","male"," is browsing around a kitchen appliance store. He finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Lee"," finds a toaster and looks at the price.","He","merchandise","contextWithSuper","toaster"
11,2,3,"long","time","female"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Laura"," finds a music video to watch online with their friend.","","videos","contextWithSuper","music video"
11,2,4," short","height","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Sophie"," sees a professional soccer player.","","men","contextWithSuper","soccer player"
11,3,5,"cold","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Melinda"," lives in Maryland and steps outside in Summer.","She","summer days","contextWithSuper","day in Summer"
11,1,6,"cheap","price","female"," is browsing around a kitchen appliance store. She finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Alicia"," finds a bottle opener and looks at the price.","She","bottle openers","contextWithSuper","bottle opener"
11,2,7,"light","weight","male"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Tom"," picks up an apple.","","apples","contextWithSuper","apple"
11,1,8,"cold","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Angela"," lives in Maryland and steps outside in Winter.","She","winter days","contextWithSuper","day in Winter"
11,3,9,"light","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Monica"," picks up a watermelon.","","watermelons","contextWithSuper","watermelon"
11,3,10,"expensive","price","female"," is browsing around a kitchen appliance store. She finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Jasmine"," finds a dishwasher and looks at the price.","She","dishwashers","contextWithSuper","dishwasher"
11,1,11,"long","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Veronica"," finds a video of a cute animal to watch online with their friend.","","cute animals","contextWithSuper","video of the cute animal"
11,1,12," short","height","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Eric"," sees a professional gymnast.","","gymnasts","contextWithSuper","gymnast"
11,1,13,"light","weight","male"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Anthony"," picks up a grape.","","grapes","contextWithSuper","grape"
11,3,14,"short","time","female"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Tanya"," finds a movie to watch online with their friend.","","movies","contextWithSuper","movie"
11,3,15," short","height","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Stephanie"," sees a professional basketball player.","","basketball players","contextWithSuper","basketball player"
12,2,1,"short","time","female"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","Natalia"," finds a music video to watch online with their friend.","","music videos","contextWithSuper","music video"
12,1,2,"cheap","price","male"," is browsing around a kitchen appliance store. He finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Tom"," finds a bottle opener and looks at the price.","He","bottle openers","contextWithSuper","bottle opener"
12,3,3,"heavy","weight","male"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Anthony"," picks up a watermelon.","","watermelons","contextWithSuper","watermelon"
12,2,4," tall","height","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Greg"," sees a professional soccer player.","","people","contextWithSuper","soccer player"
12,1,5,"long","time","male"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Lucas"," finds a video of a cute animal to watch online with their friend.","","videos","contextWithSuper","video of the cute animal"
12,3,6," short","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Gary"," sees a professional basketball player.","","players","contextWithSuper","basketball player"
12,2,7,"heavy","weight","male"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Cameron"," picks up an apple.","","apples","contextWithSuper","apple"
12,2,8,"cheap","price","male"," is browsing around a kitchen appliance store. He finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Stephen"," finds a toaster and looks at the price.","He","toaster","contextWithSuper","toaster"
12,2,9,"cold","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Lee"," lives in Maryland and steps outside in Fall.","He","days","contextWithSuper","day in Fall"
12,3,10,"short","time","female"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Maya"," finds a movie to watch online with their friend.","","movies","contextWithSuper","movie"
12,1,11,"warm","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Daniel"," lives in Maryland and steps outside in Winter.","He","days","contextWithSuper","day in Winter"
12,1,12,"heavy","weight","female"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Kathleen"," picks up a grape.","","grapes","contextWithSuper","grape"
12,3,13,"cheap","price","male"," is browsing around a kitchen appliance store. He finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Robert"," finds a dishwasher and looks at the price.","He","diswashers","contextWithSuper","dishwasher"
12,3,14,"cold","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Melinda"," lives in Maryland and steps outside in Summer.","She","days","contextWithSuper","day in Summer"
12,1,15," short","height","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Tanya"," sees a professional gymnast.","","people","contextWithSuper","gymnast"
13,3,1,"short","time","male"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Lucas"," finds a movie to watch online with their friend.","","movies available.","contextWithSuper","movie"
13,2,2,"light","weight","female"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Tanya"," picks up an apple.","","fruits.","contextWithSuper","apple"
13,3,3," short","height","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Melinda"," sees a professional basketball player.","","basketball players.","contextWithSuper","basketball player"
13,3,4,"light","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Kathleen"," picks up a watermelon.","","watermelons","contextWithSuper","watermelon"
13,2,5," short","height","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","William"," sees a professional soccer player.","","soccor players","contextWithSuper","soccer player"
13,3,6,"expensive","price","male"," is browsing around a kitchen appliance store. He finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Gary"," finds a dishwasher and looks at the price.","He","dishwashers he has seen","contextWithSuper","dishwasher"
13,2,7,"warm","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Cameron"," lives in Maryland and steps outside in Fall.","He"," recent days","contextWithSuper","day in Fall"
13,2,8,"expensive","price","male"," is browsing around a kitchen appliance store. He finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Gabriel"," finds a toaster and looks at the price.","He","items he is looking at","contextWithSuper","toaster"
13,1,9,"warm","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","warm","days of the year","positive","David"," lives in Maryland and steps outside in Winter.","He","days of winter in the past","contextWithSuper","day in Winter"
13,1,10,"light","weight","female"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Monica"," picks up a grape.","","fruits available","contextWithSuper","grape"
13,2,11,"short","time","female"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","Claire"," finds a music video to watch online with their friend.","","music videos she has seen","contextWithSuper","music video"
13,3,12,"warm","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Sophie"," lives in Maryland and steps outside in Summer.","She","seasons of the year","contextWithSuper","day in Summer"
13,1,13,"expensive","price","male"," is browsing around a kitchen appliance store. He finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Greg"," finds a bottle opener and looks at the price.","He","products he has seen","contextWithSuper","bottle opener"
13,1,14," tall","height","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Jennifer"," sees a professional gymnast.","","gymnasts he has seen.","contextWithSuper","gymnast"
13,1,15,"long","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Kim"," finds a video of a cute animal to watch online with their friend.","","animalsof it;&quotechars kind","contextWithSuper","video of the cute animal"
14,1,1,"heavy","weight","male"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","John"," picks up a grape.","","grapes","context","grape"
14,3,2," short","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Michael"," sees a professional basketball player.","","basketball players","context","basketball player"
14,1,3,"short","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","short","things you watch online","negative","Kim"," finds a video of a cute animal to watch online with their friend.","","videos","context","video of the cute animal"
14,2,4,"warm","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Michelle"," lives in Maryland and steps outside in Fall.","","relative to Fall days in MD","context","day in Fall"
14,3,5,"expensive","price","male"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Alexander"," finds a dishwasher and looks at the price.","","dishwashers","context","dishwasher"
14,2,6," short","height","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Claire"," sees a professional soccer player.","","relative to grown men","context","soccer player"
14,2,7,"cheap","price","male"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Cameron"," finds a toaster and looks at the price.","","toasters/small appliances","context","toaster"
14,1,8," tall","height","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Jennifer"," sees a professional gymnast.","","gymnasts","context","gymnast"
14,2,9,"short","time","female"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","Jasmine"," finds a music video to watch online with their friend.","","music videos","context","music video"
14,2,10,"heavy","weight","male"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","David"," picks up an apple.","","apples","context","apple"
14,1,11,"cheap","price","female"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Laura"," finds a bottle opener and looks at the price.","","bottle openers","context","bottle opener"
14,1,12,"cold","temperature","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Daniel"," lives in Maryland and steps outside in Winter.","","days in MD in winter","context","day in Winter"
14,3,13,"long","time","male"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Josh"," finds a movie to watch online with their friend.","","videos of its kind","context","movie"
14,3,14,"cold","temperature","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Simon"," lives in Maryland and steps outside in Summer.","","summer days in MD","context","day in Summer"
14,3,15,"heavy","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Stephanie"," picks up a watermelon.","","watermelons","context","watermelon"
15,1,1,"cold","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Tanya"," lives in Maryland and steps outside in Winter.","She","temperatures","contextWithSuper","day in Winter"
15,1,2,"heavy","weight","male"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","William"," picks up a grape.","","objects","contextWithSuper","grape"
15,3,3,"short","time","male"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Stephen"," finds a movie to watch online with their friend.","","videos","contextWithSuper","movie"
15,3,4," short","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Gary"," sees a professional basketball player.","","people in that profession","contextWithSuper","basketball player"
15,3,5,"warm","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Monica"," lives in Maryland and steps outside in Summer.","She","summer days","contextWithSuper","day in Summer"
15,2,6,"expensive","price","female"," is browsing around a kitchen appliance store. She finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Alicia"," finds a toaster and looks at the price.","She","toasters","contextWithSuper","toaster"
15,2,7,"heavy","weight","female"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Mika"," picks up an apple.","","items","contextWithSuper","apple"
15,3,8,"expensive","price","male"," is browsing around a kitchen appliance store. He finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Anthony"," finds a dishwasher and looks at the price.","He","dishwashers","contextWithSuper","dishwasher"
15,1,9," tall","height","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Lee"," sees a professional gymnast.","","people in his field","contextWithSuper","gymnast"
15,1,10,"long","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Kim"," finds a video of a cute animal to watch online with their friend.","","videos","contextWithSuper","video of the cute animal"
15,3,11,"heavy","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Veronica"," picks up a watermelon.","","items","contextWithSuper","watermelon"
15,1,12,"expensive","price","male"," is browsing around a kitchen appliance store. He finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Josh"," finds a bottle opener and looks at the price.","He","bottle openers","contextWithSuper","bottle opener"
15,2,13,"short","time","female"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","Jasmine"," finds a music video to watch online with their friend.","","videos","contextWithSuper","music video"
15,2,14," short","height","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Maya"," sees a professional soccer player.","","people in his profession","contextWithSuper","soccer player"
15,2,15,"warm","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Stephanie"," lives in Maryland and steps outside in Fall.","She","fall days","contextWithSuper","day in Fall"
16,2,1," short","height","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Kathleen"," sees a professional soccer player.","","men","contextWithSuper","soccer player"
16,3,2,"cold","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Julia"," lives in Maryland and steps outside in Summer.","She","summer days","contextWithSuper","day in Summer"
16,1,3,"cheap","price","female"," is browsing around a kitchen appliance store. She finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Stephanie"," finds a bottle opener and looks at the price.","She","bottle openers","contextWithSuper","bottle opener"
16,3,4,"long","time","female"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Laura"," finds a movie to watch online with their friend.","","movies","contextWithSuper","movie"
16,1,5,"heavy","weight","female"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Jasmine"," picks up a grape.","","grapes","contextWithSuper","grape"
16,3,6," tall","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","Lucas"," sees a professional basketball player.","","basketball players","contextWithSuper","basketball player"
16,2,7,"expensive","price","female"," is browsing around a kitchen appliance store. She finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Jennifer"," finds a toaster and looks at the price.","She","toasters","contextWithSuper","toaster"
16,3,8,"heavy","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Natalia"," picks up a watermelon.","","fruit","contextWithSuper","watermelon"
16,1,9,"long","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Angela"," finds a video of a cute animal to watch online with their friend.","","videos","contextWithSuper","video of the cute animal"
16,2,10,"light","weight","female"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Michelle"," picks up an apple.","","fruit`","contextWithSuper","apple"
16,1,11,"warm","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Alexander"," lives in Maryland and steps outside in Winter.","He","winter days","contextWithSuper","day in Winter"
16,2,12,"long","time","male"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Gabriel"," finds a music video to watch online with their friend.","","music videos","contextWithSuper","music video"
16,2,13,"cold","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Veronica"," lives in Maryland and steps outside in Fall.","She","fall days","contextWithSuper","day in Fall"
16,3,14,"cheap","price","male"," is browsing around a kitchen appliance store. He finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Eric"," finds a dishwasher and looks at the price.","He","dishwashers","contextWithSuper","dishwasher"
16,1,15," tall","height","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Alicia"," sees a professional gymnast.","","gymnasts","contextWithSuper","gymnast"
17,2,1,"long","time","male"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Michael"," finds a music video to watch online with their friend.","","music videos","contextWithSuper","music video"
17,1,2,"light","weight","female"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Claire"," picks up a grape.","","grapes","contextWithSuper","grape"
17,3,3,"warm","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Laura"," lives in Maryland and steps outside in Summer.","She","days this year","contextWithSuper","day in Summer"
17,3,4," tall","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","John"," sees a professional basketball player.","","guys around us","contextWithSuper","basketball player"
17,1,5,"cold","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Charles"," lives in Maryland and steps outside in Winter.","He","days this winter","contextWithSuper","day in Winter"
17,2,6,"light","weight","male"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Gary"," picks up an apple.","","apples in the store","contextWithSuper","apple"
17,2,7,"cold","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Jennifer"," lives in Maryland and steps outside in Fall.","She","days this week","contextWithSuper","day in Fall"
17,1,8," tall","height","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Greg"," sees a professional gymnast.","","gymnasts","contextWithSuper","gymnast"
17,1,9,"long","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Kim"," finds a video of a cute animal to watch online with their friend.","","animal videos","contextWithSuper","video of the cute animal"
17,2,10,"cheap","price","male"," is browsing around a kitchen appliance store. He finds a toaster and looks at the price.","cheap","kitchen appliances","negative","William"," finds a toaster and looks at the price.","He","toasters","contextWithSuper","toaster"
17,3,11,"heavy","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Monica"," picks up a watermelon.","","melons","contextWithSuper","watermelon"
17,1,12,"expensive","price","male"," is browsing around a kitchen appliance store. He finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Daniel"," finds a bottle opener and looks at the price.","He","tools in the store","contextWithSuper","bottle opener"
17,3,13,"short","time","male"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","David"," finds a movie to watch online with their friend.","","movies online","contextWithSuper","movie"
17,2,14," tall","height","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Michelle"," sees a professional soccer player.","","soccer players","contextWithSuper","soccer player"
17,3,15,"cheap","price","female"," is browsing around a kitchen appliance store. She finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Tanya"," finds a dishwasher and looks at the price.","She","dishwashers in the store","contextWithSuper","dishwasher"
